MeshName,Company
A2,DAMON ROLLER 
A2A,AUTONICS AUTOMATIC 
A3,JUNGHEINRICH
A3A, SMAL GROUP
A4,MIMA
A5,NILKAMAL
A6,ARMSTRONG DEMATIC
A7,MUVRO TECHNOLOGIES
A8,RESERVED
A9,COLDSTEEL CORPORATION
A10,RESERV
A11,LEAP INDIA
A13,SAIFI CON FAB
A15,VISAI LABS
A17,BHARATQCONVEYORS
A17A,EMPTY
A18,RESERVED
A19,RESERVED
A21,RESERVED
A23,MAINI GROUP
A24,SWASTIK INDUSTRIES
A25,MMECHATRONICS INT�L
A26,SIDHARTH SHUTTER
A27,ROXUL ROCKWOO
A28,EMPTY
A29,LIUGONG
A31,EMPTY
A33,EMPTY
A34,EMPTY
A36,EMPTY
A37,GREAT EASTERN IP TECH 
A38,YMS
A39,RFID4U
A40,AG GROUP
A41,FAIRTRAX
A43,NINGBO CHOLIFT FORKLIFT
A44,CHAINWAY INDIA
A45,ZAMIL STEEL 
A47,SHIVA INFRA
A49,STEELBUILD INFRA 
A51,AKASH INDUSTRIES
A53,APOLLO VTS
A55,EMPTY
A55A,KAVITECH
A56,EMPTY
A57,EMPTY
A59,EMPTY
A60,EMPTY
A62,EMPTY
A63,EMPTY
A65,EMPTY
A66,EMPTY
A67,EMPTY
A69,MAHANSARIA TYRES
A71,LIBIAO ROBOTICS
A73,AUTORISE
A75,BISMARCK GROUP
A77,MANIK ENGG 
A78,NIXILON ENERGY
A79,ESSAE DIGITRONOCS
A80,EMPTY
A81,EMPTY
A82,EMPTY
A83,EMPTY
A85,EMPTY
A86,EMPTY
A87,EMPTY
A88,EBR TECHNO
A89,EMPTY
B1,METAFOLD ENGG.
B3,APL APOLLO
B4,TOYOTA MATERIAL HANDLING
B5,CRAFTSMAN
B6,EMPTY
B7,BOOKED
B8,JOYPACK INDIA
B11,AAVON STEEL
B13,TOSHI AUTOMATION
B15,TIRUPATI MARKETING
B17,E-PACK
B19,INDO SPACE
B20,HEBEI TIANYULUX
B21,SOTI
B22,DELMON & CIPHER LAB
B23,INDOSPACE
B25,ASSA ABLOY
B27,EMPTY
B28,EMPTY
B29,UTE
B31,SAINT GOBAIN
B33,SCHOELLER ALLIBERT
B35,SAINT GOBAIN
B36,AXIS ELECTRONICS
B37,KIRBY
B38,TREEWALKER TECHNOLOGIES
B39,CLADDING PROJECTS
B40,MUSTEK TECHNOLOGIES
B41,WAVELINE INDUSTRIES
B42,SEIUC
B43,WILLUS INFRA
B45,ZAPI
B47,GAURANG STEEL
B49,BKG
B51,BCM
B53,EMPTY
B55,DCODE
B57,SUZHOU DELI INTELLIGENT LOGISTICS
B59,SUZHOU DELI INTELLIGENT LOGISTICS
B60,POWER BUILD
B61,CONFLOOR TECHNOLOGIES
B62,RITUTECH
B63,ASHTECH PREFAB
B65,MASTER FLOORS
B67,MASTER FLOORS
B69,AVI INTL
B71,TIANJIN MASTER LOGISTICS
B73,DCODE
B75,ESSAE DIGITRONICS
B77,EMPTY
B79,EMPTY
B81,BEA MOUR
B83,EMPTY
B85,EMPTY
B87,EMPTY
B89,EMPTY
B90,EMPTY
B93,PATH LOGISTICS
B95,VISHAKHA GROUP
B97,VIRTUAL INDUSTRIES
B101,EMPTY
B102,EMPTY
